"date","value"
2020-03-27 01:00:00,1.8
2020-03-27 02:00:00,1.6
2020-03-27 03:00:00,1.2
2020-03-27 04:00:00,1.1
2020-03-27 05:00:00,0.9
2020-03-27 06:00:00,0.9
2020-03-27 07:00:00,1.2
2020-03-27 08:00:00,2.5
2020-03-27 09:00:00,4.4
2020-03-27 10:00:00,5.9
2020-03-27 11:00:00,8.2
2020-03-27 12:00:00,9.6
2020-03-28 00:00:00,4.1
2020-03-28 01:00:00,3.8
2020-03-28 02:00:00,3.4
2020-03-28 03:00:00,3.2
2020-03-28 04:00:00,3.1
2020-03-28 05:00:00,3.2
2020-03-28 06:00:00,3.1
2020-03-28 07:00:00,3.6
2020-03-28 08:00:00,4.8
2020-03-28 09:00:00,6.4
2020-03-28 10:00:00,7.8
2020-03-28 11:00:00,9.2
2020-03-28 12:00:00,10.1
2020-03-29 00:00:00,3.0
2020-03-29 01:00:00,3.2
2020-03-29 02:00:00,3.0
2020-03-29 03:00:00,2.6
2020-03-29 04:00:00,2.1
2020-03-29 05:00:00,1.7
2020-03-29 06:00:00,1.6
2020-03-29 07:00:00,2.8
2020-03-29 08:00:00,3.6
2020-03-29 09:00:00,4.4
2020-03-29 10:00:00,4.8
2020-03-29 11:00:00,5.0
2020-03-29 12:00:00,5.6
2020-03-30 00:00:00,1.3
2020-03-30 01:00:00,1.6
2020-03-30 02:00:00,1.4
2020-03-30 03:00:00,1.3
2020-03-30 04:00:00,1.4
2020-03-30 05:00:00,1.6
2020-03-30 06:00:00,1.3
2020-03-30 07:00:00,1.6
2020-03-30 08:00:00,2.2
2020-03-30 09:00:00,3.4
2020-03-30 10:00:00,4.2
2020-03-30 11:00:00,5.4
2020-03-30 12:00:00,6.2
2020-03-31 00:00:00,4.3
2020-03-31 01:00:00,3.6
2020-03-31 02:00:00,3.4
2020-03-31 03:00:00,3.1
2020-03-31 04:00:00,3.1
2020-03-31 05:00:00,3.2
2020-03-31 06:00:00,3.3
2020-03-31 07:00:00,2.9
2020-03-31 08:00:00,3.7
2020-03-31 09:00:00,5.1
2020-03-31 10:00:00,6.6
2020-03-31 11:00:00,7.8
2020-03-31 12:00:00,8.4
2020-04-01 00:00:00,1.3
2020-04-01 01:00:00,-0.1
2020-04-01 02:00:00,-0.2
2020-04-01 03:00:00,-0.3
2020-04-01 04:00:00,-0.6
2020-04-01 05:00:00,-0.9
2020-04-01 06:00:00,-1.0
2020-04-01 07:00:00,0.3
2020-04-01 08:00:00,2.6
2020-04-01 09:00:00,4.1
2020-04-01 10:00:00,5.2
2020-04-01 11:00:00,6.4
2020-04-01 12:00:00,7.1
2020-04-02 00:00:00,5.0
2020-04-02 01:00:00,5.1
2020-04-02 02:00:00,4.8
2020-04-02 03:00:00,4.7
2020-04-02 04:00:00,4.2
2020-04-02 05:00:00,4.4
2020-04-02 06:00:00,4.4
2020-04-02 07:00:00,4.6
2020-04-02 08:00:00,4.7
2020-04-02 09:00:00,5.6
2020-04-02 10:00:00,6.7
2020-04-02 11:00:00,7.2
2020-04-02 12:00:00,9.8
2020-04-03 00:00:00,6.3
2020-04-03 01:00:00,6.3
2020-04-03 02:00:00,6.3
2020-04-03 03:00:00,6.2
2020-04-03 04:00:00,6.1
2020-04-03 05:00:00,5.9
2020-04-03 06:00:00,5.7
2020-04-03 07:00:00,6.5
2020-04-03 08:00:00,7.1
2020-04-03 09:00:00,8.2
2020-04-03 10:00:00,8.5
2020-04-03 11:00:00,8.4
2020-04-03 12:00:00,8.4
2020-04-04 00:00:00,5.6
2020-04-04 01:00:00,4.2
2020-04-04 02:00:00,4.2
2020-04-04 03:00:00,4.3
2020-04-04 04:00:00,4.3
2020-04-04 05:00:00,4.7
2020-04-04 06:00:00,5.2
2020-04-04 07:00:00,4.8
2020-04-04 08:00:00,6.0
2020-04-04 09:00:00,7.2
2020-04-04 10:00:00,8.7
2020-04-04 11:00:00,10.4
2020-04-04 12:00:00,11.4
2020-04-05 00:00:00,7.3
2020-04-05 01:00:00,6.7
2020-04-05 02:00:00,6.5
2020-04-05 03:00:00,6.2
2020-04-05 04:00:00,6.0
2020-04-05 05:00:00,5.7
2020-04-05 06:00:00,5.6
2020-04-05 07:00:00,7.1
2020-04-05 08:00:00,8.8
2020-04-05 09:00:00,10.9
2020-04-05 10:00:00,12.4
2020-04-05 11:00:00,13.7
2020-04-05 12:00:00,14.8
2020-04-06 00:00:00,11.2
2020-04-06 01:00:00,10.9
2020-04-06 02:00:00,10.5
2020-04-06 03:00:00,10.7
2020-04-06 04:00:00,10.3
2020-04-06 05:00:00,10.6
2020-04-06 06:00:00,9.7
2020-04-06 07:00:00,10.1
2020-04-06 08:00:00,10.4
2020-04-06 09:00:00,10.6
2020-04-06 10:00:00,11.5
2020-04-06 11:00:00,13.0
2020-04-06 12:00:00,13.9
2020-04-07 00:00:00,7.7
2020-04-07 01:00:00,6.8
2020-04-07 02:00:00,6.5
2020-04-07 03:00:00,6.0
2020-04-07 04:00:00,5.9
2020-04-07 05:00:00,5.3
2020-04-07 06:00:00,5.6
2020-04-07 07:00:00,7.1
2020-04-07 08:00:00,9.7
2020-04-07 09:00:00,11.6
2020-04-07 10:00:00,12.9
2020-04-07 11:00:00,14.1
2020-04-07 12:00:00,14.7
2020-04-08 00:00:00,9.8
2020-04-08 01:00:00,8.9
2020-04-08 02:00:00,9.3
2020-04-08 03:00:00,9.2
2020-04-08 04:00:00,9.0
2020-04-08 05:00:00,8.7
2020-04-08 06:00:00,9.1
2020-04-08 07:00:00,10.7
2020-04-08 08:00:00,12.6
2020-04-08 09:00:00,14.8
2020-04-08 10:00:00,15.7
2020-04-08 11:00:00,15.5
2020-04-08 12:00:00,15.5
2020-04-09 00:00:00,11.1
2020-04-09 01:00:00,9.4
2020-04-09 02:00:00,9.4
2020-04-09 03:00:00,9.8
2020-04-09 04:00:00,9.5
2020-04-09 05:00:00,9.7
2020-04-09 06:00:00,10.5
2020-04-09 07:00:00,11.2
2020-04-09 08:00:00,13.6
2020-04-09 09:00:00,15.4
2020-04-09 10:00:00,17.1
2020-04-09 11:00:00,18.1
2020-04-09 12:00:00,18.7
2020-04-10 00:00:00,11.7
2020-04-10 01:00:00,9.8
2020-04-10 02:00:00,9.9
2020-04-10 03:00:00,9.8
2020-04-10 04:00:00,9.6
2020-04-10 05:00:00,9.6
2020-04-10 06:00:00,10.0
2020-04-10 07:00:00,10.5
2020-04-10 08:00:00,12.6
2020-04-10 09:00:00,14.7
2020-04-10 10:00:00,16.5
2020-04-10 11:00:00,17.6
2020-04-10 12:00:00,18.4
2020-04-11 00:00:00,11.9
2020-04-11 01:00:00,10.1
2020-04-11 02:00:00,10.4
2020-04-11 03:00:00,10.7
2020-04-11 04:00:00,11.0
2020-04-11 05:00:00,10.8
2020-04-11 06:00:00,10.9
2020-04-11 07:00:00,11.6
2020-04-11 08:00:00,13.4
2020-04-11 09:00:00,15.3
2020-04-11 10:00:00,17.0
2020-04-11 11:00:00,18.5
2020-04-11 12:00:00,19.6
2020-04-12 00:00:00,11.5
2020-04-12 01:00:00,10.1
2020-04-12 02:00:00,9.9
2020-04-12 03:00:00,9.7
2020-04-12 04:00:00,9.7
2020-04-12 05:00:00,10.0
2020-04-12 06:00:00,10.1
2020-04-12 07:00:00,10.4
2020-04-12 08:00:00,12.5
